Atom: 39
Frequency   X       Y       Z       IR      Raman
255.7048  -0.07  0.07  -0.05  9.7569  1.2799
262.2922  0.05  0.04  -0.01  10.0861  6.3157
264.9277  0.01  -0.02  0.00  8.4392  2.0707
265.9583  -0.06  0.10  -0.02  10.2567  0.9106
266.9208  -0.00  0.08  0.00  14.7274  1.1849
269.5511  -0.01  -0.07  -0.10  3.7655  6.318
278.4852  -0.05  -0.03  0.04  43.387  2.7547
280.5695  -0.02  0.17  0.09  17.3544  2.1341
282.7175  -0.01  -0.05  -0.02  36.157  1.6875
286.8719  0.03  -0.12  -0.10  28.8234  2.5816
299.7976  0.00  -0.03  -0.00  13.464  2.2319
301.7082  -0.02  0.01  0.04  7.2054  6.8134
302.7576  -0.02  0.02  0.06  8.46  0.4751
309.6594  -0.00  0.02  0.09  12.4083  8.0858
317.4359  0.02  -0.02  -0.01  9.3946  4.1573
320.0419  0.00  0.02  0.01  5.6405  1.2022
329.2068  0.03  -0.08  -0.04  2.7421  1.9588
332.8589  0.00  -0.01  0.00  2.6131  1.5035
336.3553  0.00  -0.02  0.02  15.512  2.4882
345.4075  0.02  -0.00  0.01  16.0983  4.0714
349.4142  -0.05  0.01  0.05  10.0039  2.7027
351.0855  0.02  -0.00  0.03  30.2461  5.9162
356.3506  -0.03  -0.01  0.00  8.3418  4.5281
363.1151  -0.02  0.05  -0.04  15.6648  1.4564
370.4086  0.02  0.02  -0.03  61.5361  2.0804
386.2393  -0.03  0.07  -0.03  54.9413  4.1362
387.7181  -0.05  0.07  -0.04  99.3099  2.2158
410.0357  0.01  0.01  0.00  39.0221  1.0253
411.6582  0.00  0.01  -0.03  43.4947  2.9683
413.2711  0.01  -0.00  -0.01  39.7155  6.8537
426.5268  0.00  -0.01  0.01  39.0339  4.4075
438.3855  -0.01  -0.00  0.02  46.7188  13.3222
469.6334  -0.12  -0.15  0.29  80.9109  9.78
483.6002  -0.01  -0.01  0.02  59.0739  0.5937
493.8025  0.04  0.06  -0.10  48.9302  1.396
